vb,vl,vrl,prlt,idx,rpd,rpp,vpp,teq,tt,am,total
134.74,129.53,29.53,29.53,CDI,0.0222,11.8,111.8,LCI/LCA 99.45% CDI,16.15,190000.0,117.0
104.38,96.22,46.22,92.44,CDI,0.0222,31.71,65.85,LCI/LCA 99.45% CDI,16.15,120000.0,117.0
10438.05,9622.34,4622.34,92.45,CDI,0.0222,31.71,6585.29,LCI/LCA 99.45% CDI,16.15,120000.0,117.0
77788.33,73620.08,23620.08,47.24,CDI,0.0222,17.98,58991.67,LCI/LCA 99.45% CDI,16.15,160000.0,117.0
6717.24,6459.66,1459.66,29.19,CDI,0.0222,11.68,5584.02,LCI/LCA 99.45% CDI,16.15,190000.0,117.0
15542.98,14711.54,4711.54,47.12,CDI,0.0222,17.98,11798.33,LCI/LCA 99.24% CDI,16.11,160000.0,116.75
1562.97,1478.52,478.52,47.85,CDI,0.0222,18.27,1182.72,LCI/LCA 99.02% CDI,16.07,160000.0,116.5
1562.97,1478.52,478.52,47.85,CDI,0.0222,18.27,1182.72,LCI/LCA 99.02% CDI,16.07,160000.0,116.5
1444.72,1378.01,378.01,37.8,CDI,0.0222,14.83,1148.27,LCI/LCA 99.02% CDI,16.07,170000.0,116.5
1444.72,1378.01,378.01,37.8,CDI,0.0222,14.83,1148.27,LCI/LCA 99.02% CDI,16.07,170000.0,116.5
1562.97,1478.52,478.52,47.85,CDI,0.0222,18.27,1182.72,LCI/LCA 99.02% CDI,16.07,160000.0,116.5
1790.49,1671.92,671.92,67.19,CDI,0.0222,24.5,1244.96,LCI/LCA 98.6% CDI,16.0,140000.0,116.0
1344.02,1292.41,292.41,29.24,CDI,0.0222,11.76,1117.63,LCI/LCA 98.6% CDI,16.0,190000.0,116.0
2073.3,1912.31,912.31,91.23,CDI,0.0222,31.56,1315.56,LCI/LCA 98.6% CDI,16.0,120000.0,116.0
1345.6,1293.76,293.76,29.38,CDI,0.0222,11.81,1118.13,LCI/LCA 98.6% CDI,16.0,190000.0,116.0
1549.9,1467.42,467.42,46.74,CDI,0.0222,17.92,1179.19,LCI/LCA 98.6% CDI,16.0,160000.0,116.0
2075.74,1914.38,914.38,91.44,CDI,0.0222,31.61,1316.14,LCI/LCA 98.6% CDI,16.0,120000.0,116.0
1340.06,1289.05,289.05,28.91,CDI,0.0222,11.64,1116.39,LCI/LCA 98.6% CDI,16.0,190000.0,116.0
13440.16,12924.13,2924.13,29.24,CDI,0.0222,11.8,11180.46,LCI/LCA 98.6% CDI,16.0,190000.0,116.0
18074.42,16863.26,6863.26,68.63,CDI,0.0222,25.03,12503.05,LCI/LCA 98.6% CDI,16.0,140000.0,116.0
1.34,1.28,0.28,28.0,CDI,0.0222,11.61,1.12,LCI/LCA 95.7% CDI,16.0,190000.0,116.0
10372.61,9566.72,4566.72,91.33,CDI,0.0222,31.71,6585.29,LCI/LCA 98.6% CDI,16.0,120000.0,116.0
89.58,83.64,33.64,67.28,CDI,0.0222,24.61,62.31,LCI/LCA 98.6% CDI,16.0,140000.0,116.0
2096.63,1932.14,932.14,93.21,CDI,0.0222,32.23,1322.34,LCI/LCA 98.6% CDI,16.0,120000.0,116.0
2096.63,1932.14,932.14,93.21,CDI,0.0222,32.23,1322.34,LCI/LCA 98.6% CDI,16.0,120000.0,116.0
1559.98,1475.98,475.98,47.6,CDI,0.0222,18.27,1182.72,LCI/LCA 98.6% CDI,16.0,160000.0,116.0
1807.44,1686.33,686.33,68.63,CDI,0.0222,25.03,1250.3,LCI/LCA 98.6% CDI,16.0,140000.0,116.0
2094.16,1930.04,930.04,93.0,CDI,0.0222,32.17,1321.75,LCI/LCA 98.6% CDI,16.0,120000.0,116.0
1807.44,1686.33,686.33,68.63,CDI,0.0222,25.03,1250.3,LCI/LCA 98.6% CDI,16.0,140000.0,116.0
2094.16,1930.04,930.04,93.0,CDI,0.0222,32.17,1321.75,LCI/LCA 98.6% CDI,16.0,120000.0,116.0
1559.98,1475.98,475.98,47.6,CDI,0.0222,18.27,1182.72,LCI/LCA 98.6% CDI,16.0,160000.0,116.0
15499.02,14674.17,4674.17,46.74,CDI,0.0222,17.98,11798.33,LCI/LCA 98.6% CDI,16.0,160000.0,116.0
17915.44,16728.13,6728.13,67.28,CDI,0.0222,24.61,12461.43,LCI/LCA 98.6% CDI,16.0,140000.0,116.0
17915.44,16728.13,6728.13,67.28,CDI,0.0222,24.61,12461.43,LCI/LCA 98.6% CDI,16.0,140000.0,116.0
20745.23,19133.44,9133.44,91.33,CDI,0.0222,31.71,13170.57,LCI/LCA 98.6% CDI,16.0,120000.0,116.0
8957.72,8364.06,3364.06,67.28,CDI,0.0222,24.61,6230.71,LCI/LCA 98.6% CDI,16.0,140000.0,116.0
1552.64,1469.75,469.75,46.98,CDI,0.0222,18.06,1180.62,LCI/LCA 98.6% CDI,16.0,160000.0,116.0
1558.48,1474.71,474.71,47.47,CDI,0.0222,18.27,1182.72,LCI/LCA 98.39% CDI,15.96,160000.0,115.75
1337.59,1278.51,278.51,27.85,CDI,0.0222,11.61,1116.15,LCI/LCA 95.29% CDI,15.93,190000.0,115.5
15569.9,14734.42,4734.42,47.34,CDI,0.0222,18.27,11827.22,LCI/LCA 98.17% CDI,15.93,160000.0,115.5
