tir,vir,dc,du,rbd,rbm,rba,rbp,rlp,rld,rlm,rla
15.0,161.36,1800,1240,0.058914,1.2445,16.0,107.57,91.44,0.052384,1.11,14.11
15.0,516.02,730,502,0.058914,1.2445,16.0,34.4,29.24,0.051111,1.08,13.74
15.0,1211.16,1461,1005,0.058914,1.2445,16.0,80.74,68.63,0.052009,1.1,14.0
15.0,841.34,1096,756,0.058914,1.2445,16.0,56.09,47.68,0.051581,1.09,13.88
15.0,804.98,1800,1238,0.058914,1.2445,16.0,107.33,91.23,0.052381,1.11,14.11
15.0,121.12,1460,1005,0.058914,1.2445,16.0,80.74,68.63,0.052009,1.1,14.0
15.0,164.49,1825,1257,0.058914,1.2445,16.0,109.66,93.21,0.05241,1.11,14.12
15.0,164.49,1825,1257,0.058914,1.2445,16.0,109.66,93.21,0.05241,1.11,14.12
15.0,121.12,1460,1005,0.058914,1.2445,16.0,80.74,68.63,0.052009,1.1,14.0
15.0,164.49,1825,1257,0.058914,1.2445,16.0,109.66,93.21,0.05241,1.11,14.12
15.0,164.49,1825,1257,0.058914,1.2445,16.0,109.66,93.21,0.05241,1.11,14.12
15.0,121.28,1463,1006,0.058914,1.2445,16.0,80.85,68.72,0.05201,1.1,14.0
15.0,164.49,1827,1257,0.058914,1.2445,16.0,109.66,93.21,0.05241,1.11,14.12
15.0,121.28,1463,1006,0.058914,1.2445,16.0,80.85,68.72,0.05201,1.1,14.0
15.0,164.49,1827,1257,0.058914,1.2445,16.0,109.66,93.21,0.05241,1.11,14.12
15.0,824.85,1080,744,0.058914,1.2445,16.0,54.99,46.74,0.051559,1.09,13.87
15.0,1188.9,1440,991,0.058914,1.2445,16.0,79.26,67.37,0.051986,1.1,13.99
15.0,1188.9,1440,991,0.058914,1.2445,16.0,79.26,67.37,0.051986,1.1,13.99
15.0,1609.95,1800,1238,0.058914,1.2445,16.0,107.33,91.23,0.052381,1.11,14.11
15.0,82.9,1085,747,0.058914,1.2445,16.0,55.26,46.97,0.051565,1.09,13.87
15.0,83.77,1095,755,0.058787,1.2418,15.96,55.85,47.47,0.051465,1.09,13.84
17.5,59.08,720,496,0.05866,1.2391,15.93,33.76,27.85,0.049548,1.05,13.3
15.0,835.49,1097,755,0.05866,1.2391,15.93,55.7,47.34,0.051351,1.08,13.81
15.0,591.86,1441,992,0.05866,1.2391,15.93,78.91,67.08,0.051756,1.09,13.93
15.0,83.69,1096,756,0.05866,1.2391,15.93,55.79,47.42,0.051353,1.08,13.81
15.0,83.55,1095,755,0.05866,1.2391,15.93,55.7,47.34,0.051351,1.08,13.81
15.0,83.69,1096,756,0.05866,1.2391,15.93,55.79,47.42,0.051353,1.08,13.81
0.0,0.0,2821,1941,0.058651,1.2389,15.92,212.07,212.07,0.058651,1.24,15.92
0.0,0.0,2821,1941,0.058651,1.2389,15.92,212.07,212.07,0.058651,1.24,15.92
0.0,0.0,2331,1603,0.058651,1.2389,15.92,155.97,155.97,0.058651,1.24,15.92
15.0,83.32,1095,755,0.058533,1.2364,15.89,55.55,47.22,0.051237,1.08,13.78
15.0,83.32,1095,755,0.058533,1.2364,15.89,55.55,47.22,0.051237,1.08,13.78
15.0,51.32,734,504,0.058406,1.2337,15.85,34.22,29.08,0.050666,1.07,13.62
15.0,119.42,1461,1003,0.058406,1.2337,15.85,79.61,67.67,0.051543,1.09,13.87
15.0,162.31,1826,1256,0.058406,1.2337,15.85,108.21,91.98,0.051941,1.1,13.98
15.0,163.04,1832,1260,0.058406,1.2337,15.85,108.7,92.39,0.051947,1.1,13.98
15.0,797.04,1800,1240,0.058406,1.2337,15.85,106.27,90.33,0.051916,1.1,13.97
15.0,51.09,730,502,0.058406,1.2337,15.85,34.06,28.95,0.050662,1.07,13.61
15.0,510.89,730,502,0.058406,1.2337,15.85,34.06,28.95,0.050662,1.07,13.61
15.0,79.79,1800,1241,0.058406,1.2337,15.85,106.39,90.43,0.051918,1.1,13.97
15.0,11.75,1440,991,0.058406,1.2337,15.85,78.36,66.61,0.051523,1.09,13.86
15.0,15.96,1800,1241,0.058406,1.2337,15.85,106.39,90.43,0.051918,1.1,13.97
15.0,816.09,1080,744,0.058406,1.2337,15.85,54.41,46.25,0.051104,1.08,13.74
15.0,1590.47,1800,1238,0.058406,1.2337,15.85,106.03,90.13,0.051913,1.1,13.97
15.0,510.89,730,502,0.058406,1.2337,15.85,34.06,28.95,0.050662,1.07,13.61
15.0,670.74,914,633,0.058406,1.2337,15.85,44.72,38.01,0.050905,1.07,13.68
15.0,408.05,1080,744,0.058406,1.2337,15.85,54.41,46.25,0.051104,1.08,13.74
15.0,81.61,1080,744,0.058406,1.2337,15.85,54.41,46.25,0.051104,1.08,13.74
15.0,99.0,1260,868,0.058406,1.2337,15.85,66.0,56.1,0.051318,1.08,13.8
15.0,117.7,1440,992,0.058406,1.2337,15.85,78.46,66.7,0.051525,1.09,13.86
15.0,598.68,1460,1005,0.058406,1.2337,15.85,79.82,67.85,0.051546,1.09,13.87
15.0,812.47,1825,1257,0.058406,1.2337,15.85,108.33,92.08,0.051942,1.1,13.98
17.5,13.63,361,248,0.058406,1.2337,15.85,15.58,12.85,0.048774,1.03,13.08
15.0,58.85,1442,992,0.058406,1.2337,15.85,78.46,66.7,0.051525,1.09,13.86
15.0,162.49,1825,1257,0.058406,1.2337,15.85,108.33,92.08,0.051942,1.1,13.98
15.0,119.74,1460,1005,0.058406,1.2337,15.85,79.82,67.85,0.051546,1.09,13.87
15.0,83.1,1095,755,0.058406,1.2337,15.85,55.4,47.09,0.051123,1.08,13.75
15.0,51.09,730,502,0.058406,1.2337,15.85,34.06,28.95,0.050662,1.07,13.61
15.0,119.74,1460,1005,0.058406,1.2337,15.85,79.82,67.85,0.051546,1.09,13.87
15.0,83.1,1095,755,0.058406,1.2337,15.85,55.4,47.09,0.051123,1.08,13.75
15.0,162.49,1825,1257,0.058406,1.2337,15.85,108.33,92.08,0.051942,1.1,13.98
15.0,83.1,1095,755,0.058406,1.2337,15.85,55.4,47.09,0.051123,1.08,13.75
15.0,51.09,730,502,0.058406,1.2337,15.85,34.06,28.95,0.050662,1.07,13.61
15.0,119.74,1460,1005,0.058406,1.2337,15.85,79.82,67.85,0.051546,1.09,13.87
15.0,83.1,1095,755,0.058406,1.2337,15.85,55.4,47.09,0.051123,1.08,13.75
15.0,119.74,1460,1005,0.058406,1.2337,15.85,79.82,67.85,0.051546,1.09,13.87
17.5,136.93,363,249,0.058406,1.2337,15.85,15.65,12.91,0.048777,1.03,13.08
15.0,588.49,1441,992,0.058406,1.2337,15.85,78.46,66.7,0.051525,1.09,13.86
15.0,119.74,1460,1005,0.058406,1.2337,15.85,79.82,67.85,0.051546,1.09,13.87
15.0,159.05,1800,1238,0.058406,1.2337,15.85,106.03,90.13,0.051913,1.1,13.97
15.0,83.24,1096,756,0.058406,1.2337,15.85,55.49,47.17,0.051125,1.08,13.75
15.0,119.89,1463,1006,0.058406,1.2337,15.85,79.93,67.94,0.051548,1.09,13.87
15.0,101.04,1278,882,0.058406,1.2337,15.85,67.36,57.26,0.051342,1.08,13.81
15.0,795.24,1800,1238,0.058406,1.2337,15.85,106.03,90.13,0.051913,1.1,13.97
15.0,82.69,1090,752,0.058406,1.2337,15.85,55.13,46.86,0.051118,1.08,13.74
15.0,118.32,1446,996,0.058406,1.2337,15.85,78.88,67.05,0.051531,1.09,13.86
15.0,1590.47,1800,1238,0.058406,1.2337,15.85,106.03,90.13,0.051913,1.1,13.97
15.0,816.09,1080,744,0.058406,1.2337,15.85,54.41,46.25,0.051104,1.08,13.74
15.0,81.61,1080,744,0.058406,1.2337,15.85,54.41,46.25,0.051104,1.08,13.74
15.0,99.0,1260,868,0.058406,1.2337,15.85,66.0,56.1,0.051318,1.08,13.8
15.0,117.54,1440,991,0.058406,1.2337,15.85,78.36,66.61,0.051523,1.09,13.86
