code,resultAbsoluteValue,dateCom,paymentDividend,earningType,dy
ITUB4,"0,19200000",26/12/2011,13/03/2012,JCP,"1,22"
BRFS3,"0,39080857",28/12/2011,15/02/2012,JCP,"1,08"
VIVT3,"0,51496556",29/12/2011,02/05/2012,JCP,"1,95"
ARZZ3,"0,01646000",30/12/2011,31/01/2012,JCP,"0,00"
RENT3,"0,02374036",30/12/2011,10/02/2012,JCP,"0,00"
BBDC3,"0,01454118",02/01/2012,01/02/2012,Dividendo,"0,12"
BBDC4,"0,01599529",02/01/2012,01/02/2012,Dividendo,"0,11"
PETR3,"0,20000000",02/01/2012,29/02/2012,JCP,"0,86"
PETR4,"0,20000000",02/01/2012,29/02/2012,JCP,"0,92"
BBDC3,"0,01454118",01/02/2012,01/03/2012,Dividendo,"0,12"
BBDC4,"0,01599529",01/02/2012,01/03/2012,Dividendo,"0,11"
BBDC3,"0,03774187",10/02/2012,08/03/2012,Dividendo,"0,31"
BBDC4,"0,04151605",10/02/2012,08/03/2012,Dividendo,"0,28"
WEGE3,"0,03500000",14/02/2012,14/03/2012,Dividendo,"0,62"
DXCO3,"0,00829600",16/02/2012,29/02/2012,Dividendo,"0,10"
SBSP3,"2,54000000",16/02/2012,22/06/2012,JCP,"11,80"
BBAS3,"0,15445033",21/02/2012,29/02/2012,Dividendo,"0,00"
UGPA3,"0,25500000",22/02/2012,02/03/2012,JCP,"1,64"
NTCO3,"1,09117684",24/02/2012,18/04/2012,Dividendo,"2,64"
NTCO3,"0,05516776",24/02/2012,18/04/2012,JCP,"0,13"
GGBR4,"0,08000000",27/02/2012,08/03/2012,Dividendo,"0,46"
GOAU4,"0,11000000",27/02/2012,08/03/2012,Dividendo,"0,49"
ITSA4,"0,13482000",29/02/2012,08/06/2012,JCP,"2,03"
ITSA4,"0,01400000",29/02/2012,02/04/2012,Dividendo,"0,21"
ITSA4,"0,01288000",29/02/2012,13/03/2012,JCP,"0,19"
ITUB4,"0,27760000",29/02/2012,13/03/2012,JCP,"1,66"
BBDC3,"0,01454118",01/03/2012,02/04/2012,Dividendo,"0,11"
BBDC4,"0,01599529",01/03/2012,02/04/2012,Dividendo,"0,11"
BEEF3,"0,11470000",06/03/2012,15/03/2012,Dividendo,"1,64"
BEEF3,"0,20060000",06/03/2012,15/03/2012,JCP,"2,87"
LREN3,"0,03306000",14/03/2012,26/04/2013,JCP,"0,30"
CIEL3,"0,01390787",15/03/2012,30/03/2012,JCP,"0,11"
CIEL3,"1,20885268",15/03/2012,30/03/2012,Dividendo,"9,92"
RENT3,"0,02432701",15/03/2012,03/05/2012,JCP,"0,24"
ALPA4,"0,06508760",19/03/2012,18/04/2012,JCP,"0,69"
EQTL3,"0,09200000",19/03/2012,18/12/2012,Dividendo,"0,69"
PETR3,"0,12000000",19/03/2012,18/05/2012,Dividendo,"0,48"
PETR3,"0,00440000",19/03/2012,18/05/2012,Rend. Tributado,"0,02"
PETR4,"0,12000000",19/03/2012,18/05/2012,Dividendo,"0,57"
PETR4,"0,00440000",19/03/2012,18/05/2012,Rend. Tributado,"0,02"
USIM5,"0,08664600",19/03/2012,26/04/2012,JCP,"0,67"
WEGE3,"0,01911765",20/03/2012,15/08/2012,JCP,"0,33"
RADL3,"0,00423747",21/03/2012,03/12/2012,JCP,"0,02"
TOTS3,"0,13484333",21/03/2012,25/04/2012,Dividendo,"0,41"
BBAS3,"0,29327853",22/03/2012,22/05/2012,JCP,"1,08"
SANB11,"0,10560011",28/03/2012,29/08/2012,JCP,"0,83"
BBDC3,"0,01599529",02/04/2012,02/05/2012,JCP,"0,12"
BBDC4,"0,01759482",02/04/2012,02/05/2012,JCP,"0,12"
YDUQ3,"0,20257000",03/04/2012,31/08/2012,Dividendo,"2,95"
ENBR3,"0,50307363",10/04/2012,05/06/2012,Dividendo,"3,62"
VIVT3,"0,89770645",11/04/2012,02/05/2012,Dividendo,"1,74"
VIVT3,"0,73238635",11/04/2012,12/12/2012,Dividendo,"1,42"
CPFE3,"0,78820513",12/04/2012,27/04/2012,Dividendo,"3,10"
CCRO3,"0,05707733",13/04/2012,27/04/2012,Dividendo,"0,38"
EGIE3,"0,39628347",13/04/2012,15/05/2012,Dividendo,"2,75"
EGIE3,"0,39628347",13/04/2012,29/06/2012,Dividendo,"2,75"
VALE3,"1,07527655",13/04/2012,30/04/2012,JCP,"2,45"
LREN3,"0,28697780",20/04/2012,27/04/2012,Dividendo,"2,88"
ARZZ3,"0,07000000",24/04/2012,31/05/2012,Dividendo,"0,23"
ALSO3,"0,32000000",25/04/2012,15/05/2012,Dividendo,"1,07"
CPLE6,"0,07484000",26/04/2012,29/05/2012,JCP,"0,16"
BRAP4,"0,19207500",27/04/2012,15/05/2012,JCP,"0,53"
BRAP4,"0,70014586",27/04/2012,15/05/2012,Dividendo,"1,95"
BRKM5,"0,60508505",27/04/2012,19/11/2012,Dividendo,"4,27"
CMIG4,"0,94853842",27/04/2012,27/06/2012,Dividendo,"3,73"
CMIG4,"0,94853842",27/04/2012,26/12/2012,Dividendo,"8,20"
CSNA3,"0,82306000",27/04/2012,23/05/2012,Dividendo,"4,85"
CYRE3,"0,28810544",27/04/2012,27/06/2012,Dividendo,"1,83"
EZTC3,"0,53249400",27/04/2012,31/07/2012,Dividendo,"3,32"
PCAR3,"0,37295060",27/04/2012,-,Dividendo,"0,43"
PRIO3,"0,00420000",27/04/2012,20/12/2012,Dividendo,"0,01"
RAIL3,"0,08550000",27/04/2012,26/06/2012,Dividendo,"0,30"
TAEE11,"0,62196833",27/04/2012,31/10/2012,Dividendo,"0,00"
TAEE11,"0,62196833",27/04/2012,31/10/2012,Dividendo,"0,00"
MGLU3,"0,00046563",30/04/2012,23/05/2012,Dividendo,"0,00"
RENT3,"0,04438839",30/04/2012,06/06/2012,Dividendo,"0,52"
SLCE3,"0,63439000",30/04/2012,15/05/2012,Dividendo,"6,73"
MGLU3,"0,00046428",01/05/2012,23/05/2012,Dividendo,"0,00"
MULT3,"0,27463813",01/05/2012,17/05/2012,Dividendo,"0,00"
BBDC3,"0,01599529",02/05/2012,01/06/2012,Dividendo,"0,13"
BBDC4,"0,01759482",02/05/2012,01/06/2012,Dividendo,"0,12"
BBAS3,"0,06330961",10/05/2012,22/05/2012,Dividendo,"0,28"
ALPA4,"0,05971842",11/05/2012,04/07/2012,JCP,"0,63"
GGBR4,"0,06000000",11/05/2012,23/05/2012,Dividendo,"0,36"
GOAU4,"0,08000000",11/05/2012,23/05/2012,Dividendo,"0,37"
PETR3,"0,20000000",11/05/2012,31/05/2012,JCP,"0,98"
PETR4,"0,20000000",11/05/2012,31/05/2012,JCP,"1,02"
ELET3,"1,23177916",17/05/2012,-,JCP,"7,77"
ELET6,"1,63369244",17/05/2012,-,JCP,"7,77"
MRVE3,"0,37709306",17/05/2012,15/06/2012,Dividendo,"4,23"
ELET3,"1,28004701",18/05/2012,29/05/2012,JCP,"8,20"
ELET6,"1,69770945",18/05/2012,29/05/2012,JCP,"8,16"
ITSA4,"0,01500000",31/05/2012,02/07/2012,Dividendo,"0,28"
BBDC3,"0,01599529",01/06/2012,02/07/2012,Dividendo,"0,14"
BBDC4,"0,01759482",01/06/2012,02/07/2012,Dividendo,"0,13"
PCAR3,"0,10000000",11/06/2012,20/06/2012,Dividendo,"0,14"
LREN3,"0,03350000",19/06/2012,26/04/2012,JCP,"0,34"
BBAS3,"0,29675549",21/06/2012,31/08/2012,JCP,"1,45"
RADL3,"0,01119902",21/06/2012,03/12/2012,JCP,"0,06"
EMBR3,"0,09000000",25/06/2012,11/07/2012,JCP,"0,69"
WEGE3,"0,01911765",26/06/2012,15/08/2012,JCP,"0,34"
BBDC3,"0,18818468",27/06/2012,18/07/2012,JCP,"1,61"
BBDC4,"0,20700315",27/06/2012,18/07/2012,JCP,"1,46"
BRFS3,"0,11501051",28/06/2012,15/08/2012,JCP,"0,38"
SANB11,"0,12939689",28/06/2012,29/08/2012,Dividendo,"1,14"
SANB11,"0,04489280",28/06/2012,29/08/2012,JCP,"0,40"
SANB11,"0,10827087",28/06/2012,29/08/2012,Dividendo,"0,95"
ARZZ3,"0,03787087",29/06/2012,31/07/2012,JCP,"0,13"
RENT3,"0,02594382",29/06/2012,17/08/2012,JCP,"0,28"
BBDC3,"0,01881799",02/07/2012,01/08/2012,JCP,"0,16"
BBDC4,"0,02069979",02/07/2012,01/08/2012,JCP,"0,15"
WEGE3,"0,02500000",24/07/2012,15/08/2012,Dividendo,"0,47"
DXCO3,"0,11316337",26/07/2012,15/08/2012,JCP,"1,20"
SMTO3,"0,32134300",27/07/2012,15/08/2012,Dividendo,"4,38"
ARZZ3,"0,07885936",30/07/2012,31/08/2012,Dividendo,"0,24"
CSAN3,"0,15569551",31/07/2012,28/08/2012,Dividendo,"0,56"
NTCO3,"0,08511173",31/07/2012,15/08/2012,JCP,"0,16"
NTCO3,"0,76223929",31/07/2012,15/08/2012,Dividendo,"1,42"
PCAR3,"0,10000000",31/07/2012,13/08/2012,Dividendo,"0,12"
ITUB4,"0,18493333",01/08/2012,15/08/2012,JCP,"1,26"
FLRY3,"0,12800000",03/08/2012,17/08/2012,Dividendo,"1,16"
UGPA3,"0,25500000",08/08/2012,17/08/2012,Dividendo,"1,11"
ALPA4,"0,05643116",10/08/2012,03/09/2012,JCP,"0,68"
EGIE3,"1,06283769",10/08/2012,27/09/2012,Dividendo,"6,66"
GGBR4,"0,09000000",13/08/2012,23/08/2012,Dividendo,"0,51"
GOAU4,"0,13000000",13/08/2012,23/08/2012,Dividendo,"0,52"
CPFE3,"0,47377872",15/08/2012,28/09/2012,Dividendo,"2,14"
BBAS3,"0,12358064",21/08/2012,31/08/2012,Dividendo,"0,53"
ITSA4,"0,01500000",31/08/2012,01/10/2012,Dividendo,"0,26"
BBDC3,"0,01881799",03/09/2012,01/10/2012,JCP,"0,15"
BBDC4,"0,02069979",03/09/2012,01/10/2012,JCP,"0,13"
BBAS3,"0,28582070",11/09/2012,20/09/2012,JCP,"1,13"
CIEL3,"0,04059513",13/09/2012,28/09/2012,JCP,"0,29"
CIEL3,"1,09522053",13/09/2012,28/09/2012,Dividendo,"7,85"
LREN3,"0,03242000",19/09/2012,26/04/2012,JCP,"0,27"
RADL3,"0,00877761",21/09/2012,31/05/2013,JCP,"0,04"
EMBR3,"0,07000000",24/09/2012,16/10/2012,JCP,"0,52"
WEGE3,"0,01911765",25/09/2012,13/03/2013,JCP,"0,28"
CCRO3,"0,54000000",28/09/2012,31/10/2012,Dividendo,"3,03"
RENT3,"0,02511382",28/09/2012,14/11/2012,JCP,"0,23"
BBDC3,"0,01881799",01/10/2012,01/11/2012,JCP,"0,15"
BBDC4,"0,02069979",01/10/2012,01/11/2012,JCP,"0,13"
VALE3,"0,66065444",16/10/2012,31/10/2012,Dividendo,"1,73"
VALE3,"0,52586898",16/10/2012,31/10/2012,JCP,"1,93"
BRAP4,"0,31067096",31/10/2012,14/11/2012,Dividendo,"1,06"
BRAP4,"0,65020045",31/10/2012,14/11/2012,JCP,"2,22"
BBDC3,"0,01881799",02/11/2012,03/12/2012,JCP,"0,00"
BBDC4,"0,02069979",02/11/2012,03/12/2012,JCP,"0,00"
GGBR4,"0,07000000",12/11/2012,23/11/2012,JCP,"0,39"
GOAU4,"0,09000000",12/11/2012,23/11/2012,JCP,"0,39"
PCAR3,"0,10000000",12/11/2012,23/11/2012,Dividendo,"0,11"
ALPA4,"0,05752691",16/11/2012,12/12/2012,JCP,"0,60"
BBAS3,"0,10693188",16/11/2012,26/11/2012,Dividendo,"0,51"
EGIE3,"0,42313796",23/11/2012,14/05/2013,JCP,"2,76"
MULT3,"0,56182711",23/11/2012,17/05/2012,JCP,"2,89"
VIVT3,"0,93741672",23/11/2012,12/12/2012,Dividendo,"2,24"
DXCO3,"0,16390000",30/11/2012,28/02/2013,JCP,"1,38"
ITSA4,"0,01500000",30/11/2012,02/01/2013,Dividendo,"0,26"
BBDC3,"0,01881799",03/12/2012,02/01/2013,JCP,"0,12"
BBDC4,"0,02069979",03/12/2012,02/01/2013,JCP,"0,12"
MULT3,"0,70082008",11/12/2012,21/05/2013,JCP,"3,47"
BBAS3,"0,29717657",12/12/2012,28/12/2012,JCP,"1,28"
